record_id,description,id,name,parent_pillars,recommendations
recu9tDkvWy2Erooq,"Adding beneficial foods or nutrients such as omega-3s, fiber, and antioxidants.",SC001,Healthy Additions,recgGEypX3ghJay5R,"rec51TDeLYX6vOI1v, recj4S8iGZ5mXx4NS, recu8nVY5FrP2YCVR, rec949y9L8RuJ25yP, recIRf5TBEMboKqVm, recHzb6cKfnSgyEzu, recMV3jzfb4sKW5vY, receDJo2S8FqzNOrm, recnSEMu0buoaCSvm, rec3vdJyRz5x9yYJ6, recMWhvrT57rQOSyU, recTnxfnpWuWO6CRg, recGXWM4L7vUbxfCd, recMEPqal9VglyK6U, rechz1JGiQJCv9YJo, rectiHMpuqUW6EpOg, recDVZeEtpOMlhHaY, recIoVf6FOKFcUX8p, recn4eGEOf9XA0tat, recApH4t4nFb8maup, reckLfq4q5YH3ChjU, recs1Yx1aoyTCalz2, recxd0ZkIKfdSxVMp, recr7AtTCj4d026By, recB2JtyJ9bvr8qWT, recdUipe4wxEhf4uC, recUROIBVBAObV7l2, reciGprkevaemYHuP, recIO41LpxD5gj47B, recxoe009Z2wEIjIq, recUk7Y0cYFgRAOg5, recWJPLkPnQbaX9eI, recGQyztbSj4MyEaU, recMfTk8ITmrFJowR, recz8gAMEHUAYrsVo, recvv2HVgKwsoHdQD"
recgcvedIxxgb9Da7,Reducing or removing harmful or inflammatory foods like added sugar or processed meats.,SC002,Dietary Elimination,recgGEypX3ghJay5R,"rec949y9L8RuJ25yP, recIRf5TBEMboKqVm, recHzb6cKfnSgyEzu, recCqwYvk7o9NLZye, rec4hs6FOKci6FcHD, receMjPXD2cZs6rer, recPnCzFAy0LTJ9C1, recf94WHfCkB3aoTA, recq2dRUP4FLao9gd, recvLB6CCcDJhm1Fx, recgFS8idJ1Rz8Msu, recPgYrf87WKNpens, recs1Yx1aoyTCalz2, recxd0ZkIKfdSxVMp, recr7AtTCj4d026By, recXEzuSgRogrTVp5, recCGSspjFrrF9fg3, reczMIC9rZdAuBwLG, recqGXj1oW94w3reg, recDZahYDWNJwuytg, recYmmhm1c1ibQ8h3"
recZrUvYalktSJo4C,Using targeted supplementation to address deficiencies or optimize levels.,SC003,Supplement Optimization,recgGEypX3ghJay5R,
recRR3tMhyPSxcIir,"Strategies like time-restricted eating, fasting, or consistent meal schedules.",SC004,Structured Meal Timing,recgGEypX3ghJay5R,"recdOj8Nr8NO1FwR6, recuXJOhYT3ZVrOfD, recXYBL9UD1QWCF3t, recXiFdoZPO8ahvNU, rec33mt1Ib40viKUU, recMC1NC2ymnw4oc0, recUXhRwOBdDmwIz0, recjqayDOdtqvgy74, reciMtPp6Py82USrr, rece1ITrYjtv2h2G9, rec3SLnheYd7g7voW, rec6gzOrneb26gUk8"
rec4frjP0EPiJaHL9,"Cardiovascular-focused movement such as walking, running, or cycling.",SC005,Aerobic Conditioning,recp0marLNu65GGhd,"rec6T5WTFPHuxI0HV, rec6akLmENMwA5UR0, recdyxjcVFX1IiJmB, recgd6FoSRpsXFwGa, rec365bl5v5RJHmG9, recu6msvuyAWfCw4s"
receY3t5WmBL8kWhD,"Muscle-building exercises including weightlifting, bodyweight, or resistance bands.",SC006,Strength Training,recp0marLNu65GGhd,"recHS5DnujbLJGA0X, recUcK9hjmH56wFZf, rec8lDzP6nNsCQFUK, recIHhi5vLgm1yazl, recWoGmJUWm4wpggn, recuzoqjqJctR7ahw"
recbkw0FsYGtce3jt,"Encouraging consistent light movement throughout the day (e.g., steps, standing).",SC007,Daily Activity,recp0marLNu65GGhd,"recyCjSxWdLGZfHwI, recqj8q9IIWoThFkG, recx4JdeaTZgIVoZ3, recMPyaQMbpvDB4Fg, recmj7oZJyT7b1Zct, rec8Pb6zZXqqJdl8w, recZwg1aLhDGK0Ugs, recIjaRnoGtCO8uXx, rec3OiCYCwdkEUVOC, recjNCLgwgIRL0pQO, recsPMg2btkV2VLui, reclKFX6DhQ24ftN0, recMk6fKGjMET080O, recL0tr8zHEGjTEAV, reczXBfMO20DdNbq9, rec2C4Hndkvoy1Dxn, recbqfJA6wK4HdMiE, rec0os47BTvYNpKEy, recydnhcoytUM656x, receNMlaVPPdpM8lF, rec8kQTL0hFtYshjO, recWPZo0CuM633ER7, recHIhiQzo9qxQ0aE, rec0g3pUi8ZOiLy9e, recr1bYkprxDHpqqF, recTDnbMFdEillGGN, recW9EWJrKnyhWcOg, recg3Re7epEA4woTr, recTQU7jk4viGfM5L, reciAaUoOHZJUbefJ"
recpVRuEpkYs3COcp,Optimizing the bedroom and pre-bed environment for better rest.,SC008,Sleep Environment,rec6QXhDyyqwyuLdd,
rec7hUi9tJdVwnLpj,Establishing regular timing and habits for winding down and waking up.,SC009,Sleep Routine,rec6QXhDyyqwyuLdd,"recbbFVlKZwQNf0EX, recXuOWpl8orK06ul, recrAMEvn6TQqpIMf, recRbJX726D4FBznW, recCAuXnKTEfdVA0Q, recTJviRFoOIYipZZ, rec4AEbFQJsIeCNOD, rec0j9ruDrnh2P6gG, recKLti4nzfTo8acc, rece9QUzAfvHZSMxU, recnCaXsF7KhzduFk, recq2gsA68cq1kCeB, recqGyakXN5etEtZk, recuLDdQ8KbpeyEPc, reckWMg3144Ab2593"
recIS2h2KMv3m2XzN,"Meditation, breathwork, or other techniques to reduce sympathetic activation.",SC010,Mindfulness & Relaxation,reclbVFCBWmPyvvhP,
recnD91lSHw9PNiD2,Minimizing sources of chronic stress or reshaping oneâ€™s external demands.,SC011,Stress Load Reduction,reclbVFCBWmPyvvhP,
recytEV7aDBcCB14F,"Stimulating the brain through activities that challenge memory, logic, or creativity.",SC012,Cognitive Engagement,recIdXMUiA9tWGVL8,
recWMTzlCeeE9PlBS,Nutrition strategies to support brain health and prevent cognitive decline.,SC013,Neuroprotective Nutrition,recIdXMUiA9tWGVL8,
recM745CKjEqn658d,"Strengthening a sense of identity, direction, and contribution.",SC014,Purpose & Meaning,recWHZ0F3RQskqHtH,
recD36WFWTgUnTDFo,Enhancing relationships and social engagement to support mental well-being.,SC015,Social Connection,recWHZ0F3RQskqHtH,
recfYcBB049lmGEsO,"Routine screening, vaccinations, and guideline-based interventions.",SC016,Preventive Care,recOT0nP41iwVDLKR,
rec1bxSv2RibKnjBg,Reviewing and optimizing prescription or OTC medication use.,SC017,Medication Management,recOT0nP41iwVDLKR,
recnv7U8jr3gZ1lky,Using technology or journaling to monitor health behaviors or biometrics.,SC018,Personal Health Tracking,recOT0nP41iwVDLKR,
receBdgSZgrc2F1yD,"Reducing or eliminating the use of tobacco, alcohol, recreational drugs, or other harmful substances to support systemic health, reduce disease risk, and promote healthy aging.",SC019,Substance Use Reduction,recOT0nP41iwVDLKR,"recRsxAqRnyD0hIL5, recKkP3TAlDTtLiuo, rec2JL5kJJ1pJCPL1, recAaYIO7j0kgDYbf"
