record_id,Status,category,challenges,check_ins,checkins_v2,data_sources,data_type,data_types,day_view,default_max_display,default_min_display,description_for_display,detail_for_reference_not_ui_display,display_notes,fields,format_from_intake_metrics,healthkit_metrics,history,id,images_for_display_notes,intake_metrics,linked_recommendations,name,notes,nudges,null_handling,oura_metrics,pillar,pillar_all,quantity_detail,recommendation_goals,recommendation_goals_2,recommendations_copy,response_options,units
recjmkU2nIaeSH2XZ,needs_discussion,recfznMmtKjCbKkkt,CH0004,"CHK001, CHK002, CHK003","recDWOysJk6f3kLJ9, recGwo7MlZZVUClyN, recT3Ms6i0E6fFNfQ","recmJnFh2BJjHboWO, recbquDMszxCFuzsu, reckDaSnyriAU2nkU",integer,recqb9TeDFYUPdpK4,NOT REQUIRED,Yes,No,"Why: The Longevity Impact
Replacing saturated fats with unsaturated fats reduces LDL cholesterol and inflammation. This simple swap can reduce heart disease risk by 19% and support brain health as you age.

Optimal Target
Replace butter with olive oil, choose nuts over chips, pick fatty fish over red meat 2-3 times per week.

Quick Tips
Cook with olive oil instead of butter, snack on almonds, add avocado to sandwiches, choose salmon over steak.","Whether the patient made a single healthy fat substitution (e.g., swapped butter for olive oil) on a given day","I think a better option for this would just be a calenday view with checkboxes for each day in the range (day, week, month) - ","Date, Yes/No",,,,TM004,"{'id': 'attYhwDW3lHO42ptC', 'url': 'https://v5.airtableusercontent.com/v3/u/46/46/1760054400000/IEOga9PBrr732lNpXCbwuw/5HTw8MbHMO3tNGQhfoHDwmg6q2ruZBLql_Moc9SEpZEhCkj_p8e9Vnr3G0osx-j1MJ0tJ3sfJbeffEPKfT_J4Hvl5sujKZIXSe6m8DYltQdJ5Kgk2Dk4UEFdeKzbQ795vgpOj9QNRQfddowansplDiuJL9PYrfJ7a3fO3EPANcNnxyDO5CjspUsfsafh11Ny/1ImoFyUUnPR9h1JQQPd-dbL6n6epBrb2I8FuD4Cf_y0', 'filename': 'sunscreen_compliance_views.html', 'size': 15325, 'type': 'text/html'}",,recHzb6cKfnSgyEzu,Healthy Fat Swap,<<<Update,"NUDGE0010, NUDGE0011, NUDGE0012, NUDGE0013, NUDGE0014, NUDGE0015, NUDGE0016, NUDGE0017, NUDGE0018",INCLUDE,,recgGEypX3ghJay5R,recgGEypX3ghJay5R,,,recCFWDRp1GrikXum,REC0002.1,RO002,recs216xGcYqeWqrd
recWRDVKJz69pZhYp,needs_discussion,recfznMmtKjCbKkkt,CH0005,"CHK004, CHK005, CHK006","rec6n9XmdympJeVUr, recGwo7MlZZVUClyN, recT3Ms6i0E6fFNfQ","recmJnFh2BJjHboWO, recbquDMszxCFuzsu, reckDaSnyriAU2nkU",integer,recqb9TeDFYUPdpK4,NOT REQUIRED,Yes,No,"Why: The Longevity Impact
Making olive oil, avocados, and nuts your go-to fats provides omega-3s and antioxidants that protect against cognitive decline and support cellular health throughout aging.

Optimal Target
Make 80-90% of your fat intake from unsaturated sources: olive oil, nuts, seeds, avocados, fatty fish.

Quick Tips
Keep olive oil visible on counter, pre-portion nuts for snacks, buy pre-sliced avocado, meal prep with salmon.","Whether the patient consistently used healthy fats (e.g., olive oil, avocado, nuts) as the default in cooking and meal prep that day",See the note and display example for Healthy Fat Swap,"Date, Yes/No",,,,TM005,,,rec949y9L8RuJ25yP,Used Healthy Fats as Default,<<<Update,"NUDGE0010, NUDGE0011, NUDGE0012, NUDGE0013, NUDGE0014, NUDGE0015, NUDGE0016, NUDGE0017, NUDGE0018",INCLUDE,,recgGEypX3ghJay5R,recgGEypX3ghJay5R,,,rec4aU5OqUa3LOotH,REC0002.2,RO002,recs216xGcYqeWqrd
recKArUE41uHphWb9,needs_discussion,recH8WEzKPkXv3ivr,CH0006,"CHK007, CHK008, CHK009","recONnuogTqTDEYXl, recGwo7MlZZVUClyN, recT3Ms6i0E6fFNfQ","reciY6yCiPiy2vSiQ, recmJnFh2BJjHboWO, recbquDMszxCFuzsu, reckDaSnyriAU2nkU",float,"recoMKPV9asM5gw4E, recqb9TeDFYUPdpK4",REQUIRED,100,0,"Why: The Longevity Impact
Limiting saturated fat to <10% of calories reduces arterial plaque buildup and inflammation. Lower saturated fat intake is consistently linked to better cardiovascular outcomes and longevity.

Optimal Target
<10% of total calories from saturated fat (about 20g for 2000-calorie diet). Focus on lean proteins and plant-based fats.

Quick Tips
Choose lean cuts of meat, limit cheese and butter, use cooking sprays, read labels on packaged foods.","Approximate percent of total calories from saturated fat, estimated by user input or food log reflection",,"Date, Percentage (%)",,"recNoxkIaUsGH8XZ0, recP4mYviD1JQCyHQ, recT5JKXR7m7U994X, recojsOkioQgNKdmq",,TM006,,,recIRf5TBEMboKqVm,Saturated Fat Minimization,<<<Update,"NUDGE0010, NUDGE0011, NUDGE0012, NUDGE0013, NUDGE0014, NUDGE0015, NUDGE0016, NUDGE0017, NUDGE0018",IGNORE,,recgGEypX3ghJay5R,recgGEypX3ghJay5R,,,recDX0Cygq5KqwJQe,REC0002.3,"RO002, RO028, RO003",recbr6G7O5LsA88v5
recEbOiNyw46llfxE,needs_discussion,recvmPxMo7fMxWvj6,"CH0035, CH0054",,"recMEls3xJxrtXHok, recBBzfMv7o8hxmFR, recTW0NzUzSJ6QCR8","reciY6yCiPiy2vSiQ, recFaYQec0V1oH2po, recmJnFh2BJjHboWO, recbquDMszxCFuzsu",integer,"recoMKPV9asM5gw4E, recqb9TeDFYUPdpK4",REQUIRED,"If Liters: 3
if ml 3,000
if cups 12
if ounces 100",0,"Why: The Longevity Impact
Proper hydration supports cellular function, nutrient transport, and toxin elimination. Even mild dehydration can impair cognitive function and accelerate aging processes.

Optimal Target
8-10 cups daily (64-80 oz, 2-2.5L, 1900-2400ml). Increase with exercise, heat, or illness. Conversion: 1 cup = 8 oz = 240ml; 1 glass ≈ 8-12 oz; 4 cups = 1L

Quick Tips
Keep a water bottle visible, drink a glass upon waking, flavor with lemon or cucumber, set hourly reminders.",Total water (or non-sweetened beverage) consumed in a given time period,"It depends what the metric is for the default max, if its liters:
","Date, Time, Quantity",,recOXZjW1dnTrOH8C,,TM026,,,"recB2JtyJ9bvr8qWT, recdUipe4wxEhf4uC, recUROIBVBAObV7l2",Daily Water Intake (mixed units),<<<Update,"NUDGE0163, NUDGE0167, NUDGE0172",IGNORE,,recgGEypX3ghJay5R,recgGEypX3ghJay5R,"Ounces (oz), Cups , Liters (L)",,"recw8u0doVu4tUJRL, rec803WTJiQdj1npu, recPXzfgAnTndHqgU","REC0020.1, REC0020.2, REC0020.3","RO002, RO028",reci9Job5YUHzeOmp
recZKlcHhj7CDPJSf,needs_discussion,recH8WEzKPkXv3ivr,,,recFJ0x2GHfXWhHIk,recmJnFh2BJjHboWO,float,"recoMKPV9asM5gw4E, recqb9TeDFYUPdpK4",NOT REQUIRED,75,10,"Why: The Longevity Impact
Grip strength is a powerful predictor of overall health and longevity. It correlates with muscle mass, bone density, and cardiovascular health.

Optimal Target
Maintain or improve grip strength through regular strength training and specific grip exercises. Test periodically with dynamometer.

Quick Tips
Do farmers walks, deadlifts, pull-ups, squeeze stress balls, use grip trainers, carry groceries without carts.",Maximum handgrip strength measured in kilograms using a dynamometer or similar tool.,,"Date, Measurement",1 decimal,,,TM042,,recHOTAk6Lpmb9uUz,,Grip Strength,<<<Update,,IGNORE,,recp0marLNu65GGhd,recp0marLNu65GGhd,,,,,RO028,recTze2xtGoOl8vZS
recFl99d8n4l00XcA,needs_discussion,recH8WEzKPkXv3ivr,,,recsRGgKEQ1EfkZM9,"reciY6yCiPiy2vSiQ, recmJnFh2BJjHboWO",float,"recoMKPV9asM5gw4E, recqb9TeDFYUPdpK4",NOT REQUIRED,75,10,"Why: The Longevity Impact
VO2 max measures cardiovascular fitness and is one of the strongest predictors of longevity. Higher VO2 max correlates with lower all-cause mortality.

Optimal Target
Maintain in top 25% for your age group. Improve through Zone 2 cardio and high-intensity training combination.

Quick Tips
Include both aerobic base building and interval training, test annually, focus on progressive training, maintain consistency.","Estimated maximal oxygen uptake during exercise, a key indicator of cardiovascular fitness.",,"Date, Measurement",1 decimal,recALlzOrzmDI2PFI,,TM043,,rec0v0JrVS6xu5Dcj,,VO2 Max,<<<Update,,IGNORE,,recp0marLNu65GGhd,recp0marLNu65GGhd,,,,,RO028,rec45frpbX1A9jS2n
recFreByeShGraal0,needs_discussion,recNAvEZSsSEDhzQM,"CH0012, CH0013, CH0014","CHK026, CHK027","recC94COPTaYgO9Gx, rec62NOf90O7kCj35, recxmGqxigRcCfbkA","reciY6yCiPiy2vSiQ, recFaYQec0V1oH2po, recmJnFh2BJjHboWO, recbquDMszxCFuzsu",integer,"recoMKPV9asM5gw4E, rec3VXQeeyMl1IGyq",NOT REQUIRED,120,0,"Why: The Longevity Impact
Consistent sleep and wake times support circadian rhythm health, which regulates metabolism, immune function, and cellular repair processes.

Optimal Target
Go to bed within 30 minutes of the same time nightly. Weekend variations should be minimal for optimal circadian health.

Quick Tips
Set bedtime alarms, create evening routine, limit weekend sleep-in to 1 hour, use blackout curtains, avoid caffeine late.",Standard deviation of bedtime start time,See First Meal Time ,"Date, Time",,"recN4BXRVVlhfe7Nr, recKR9kGMPDwBz7fa, recgFkuXvMlCyXXdW, recik3KV1u3sYXm7Y, recStPJ16ZW0vDwhw, recKKveiVw9WKU86R, recSjKkMIJPUivSuJ",,TM048,,,"recrAMEvn6TQqpIMf, rece9QUzAfvHZSMxU, recnCaXsF7KhzduFk, recq2gsA68cq1kCeB",Sleep Timing Consistency (minutes),<<<Update,"NUDGE0032, NUDGE0033, NUDGE0034, NUDGE0035, NUDGE0036",IGNORE,"recADDvy2ZQfEz4hM, recTjBhbsZpkby61h, recf0Uycpk78YYiHT",rec6QXhDyyqwyuLdd,rec6QXhDyyqwyuLdd,,,"recwavm7ZvlOvGpB1, rec9fBref1Og1E5sM, reciIVu7kT3QBZNAc, recl81ZfLUvZ36V9t","REC0004.3, REC0039.1, REC0039.2, REC0039.3",RO028,reccQ8CBI7yU37g1V
rec0nsL37Ihw1mkM0,needs_discussion,recNAvEZSsSEDhzQM,CH0014,,"recFxp7wcZax2Q9Mx, recXP6ocSNCZdjUrl, recu4GJAweXBDjcqX","reciY6yCiPiy2vSiQ, recFaYQec0V1oH2po, recmJnFh2BJjHboWO, recbquDMszxCFuzsu",integer,"recoMKPV9asM5gw4E, rec3VXQeeyMl1IGyq",NOT REQUIRED,120,0,"Why: The Longevity Impact
Consistent wake times are even more important than bedtimes for maintaining healthy circadian rhythms and optimizing sleep quality.

Optimal Target
Wake within 30 minutes of the same time daily, including weekends. Natural light exposure upon waking helps set circadian rhythm.

Quick Tips
Use consistent alarm, get morning sunlight, avoid hitting snooze, place alarm across room, maintain even on weekends.",Standard deviation of wake time,,"Date, Time",,"recN4BXRVVlhfe7Nr, recKR9kGMPDwBz7fa, recgFkuXvMlCyXXdW, recik3KV1u3sYXm7Y, recStPJ16ZW0vDwhw, recKKveiVw9WKU86R, recSjKkMIJPUivSuJ",,TM049,,,"recrAMEvn6TQqpIMf, recqGyakXN5etEtZk, recuLDdQ8KbpeyEPc, reckWMg3144Ab2593",Wake Time Consistency (Minutes),<<<Update,,IGNORE,"recADDvy2ZQfEz4hM, recTjBhbsZpkby61h, recf0Uycpk78YYiHT",rec6QXhDyyqwyuLdd,rec6QXhDyyqwyuLdd,,,"reclMjHZCzoNvqMUc, recpRoKvNwuYgkXK4, recf2xNIGQn9dOo4V","REC0004.3, REC0040.1, REC0040.2, REC0040.3",RO028,reccQ8CBI7yU37g1V
recATC4ssc5CoJarW,needs_discussion,rec4eXSu9DUB9OTrZ,,,"recnIyHFOYdBWlHO6, recgcGsz86OntSxWJ, recXFDxsXvq21UHiu","recmJnFh2BJjHboWO, reckDaSnyriAU2nkU, recbquDMszxCFuzsu",timestamp,recytNvyzHZGgsZdY,NOT REQUIRED,11:59 PM,12 AM,"Why: The Longevity Impact
Eating large meals late disrupts sleep, impairs glucose metabolism, and interferes with overnight cellular repair processes that are crucial for longevity.

Optimal Target
Finish largest meal 3-4 hours before bedtime. Earlier eating aligns better with natural metabolic rhythms.

Quick Tips
Plan dinner timing backwards from bedtime, make lunch your largest meal, choose lighter evening options, prep meals earlier.",Whether the user consumed a large or heavy meal within 3 hours of going to bed.,See First Meal Time ,"Date, Time",,,,TM052,,,"recjyJ3KMCwCS3IQM, recmvq3CmxWl89zlQ, recXY3q9q7wAfwlZJ",Time of last large meal of the day,<<<Update,,IGNORE,,rec6QXhDyyqwyuLdd,"rec6QXhDyyqwyuLdd, recgGEypX3ghJay5R",,"rec49L4kjjUvIWtMM, recvhTuusblgqjqKs, recjCGkR4dqP8whEQ","receEuAproPbUP1LE, rechBbAh1jfUaVSgI, recS4OXO5TP9hiEUB","REC0042.1, REC0042.2, REC0042.3","RO002, RO003",recJrNIL5Ft3i4FRT
recsM47DgXMaSFxrK,needs_discussion,rec4eXSu9DUB9OTrZ,"CH0044, CH0045",,"recTnEh3iUAYiEe14, recnK7NQMo43hKQrp, rec7AjpZ29NUmi0uE","recmJnFh2BJjHboWO, reckDaSnyriAU2nkU, recbquDMszxCFuzsu",timestamp,recytNvyzHZGgsZdY,NOT REQUIRED,11:59 PM,12 AM,"Why: The Longevity Impact
Late eating disrupts circadian rhythms and overnight fasting benefits. Earlier meal timing supports better metabolic health and cellular repair processes.

Optimal Target
Stop eating 2-3 hours before bedtime. Allow 12-14 hours between last meal and breakfast for optimal metabolic benefits.

Quick Tips
Set eating curfews, brush teeth after last meal, drink herbal tea instead of snacking, plan satisfying dinners.",Whether the user consumed any caloric food within 2 hours of bedtime.,See First Meal Time ,"Date, Time",,,,TM053,,,"recla4wfM9zK0cR4j, rec99M50zfGNf4bjs, recduf6TsTzeCYv1V",Time of last meal of the day,<<<Update,,IGNORE,,rec6QXhDyyqwyuLdd,"rec6QXhDyyqwyuLdd, recgGEypX3ghJay5R",,"recEoZCP6e9RPQK0w, rec2w9ATy7hUWsge4, rec0LmvB8xB78f5FP","recggP3UrVSj2YaZb, rec4fxCFe1ZmhQuek, rec8A0Dy7FSNEKOWN","REC0043.1, REC0043.2, REC0043.3","RO002, RO003",recJrNIL5Ft3i4FRT
recn2NJclI5AuwTnP,needs_discussion,rec4eXSu9DUB9OTrZ,,,"recC6URNCqKQ5cXpg, recFtJrfZ0DfMTa1P, recBPkRxBWPP3YWMg","recmJnFh2BJjHboWO, reckDaSnyriAU2nkU, recbquDMszxCFuzsu",timestamp,recytNvyzHZGgsZdY,NOT REQUIRED,11:59 PM,12 AM,"Why: The Longevity Impact
Alcohol disrupts sleep architecture and REM sleep quality. Late consumption impairs overnight recovery and cellular repair processes.

Optimal Target
Stop alcohol 3-4 hours before bedtime. Earlier cessation allows better sleep quality and recovery.

Quick Tips
Set drink cutoff times, switch to mocktails, choose alcohol-free days, drink water between alcoholic beverages.",Whether any alcoholic beverages were consumed within 3–4 hours before bedtime.,See First Meal Time ,"Date, Time",,,,TM054,,,"recT4f3tvSbqWAgBw, reclTbJmA8iYIbUMn, reccJvdb4qs4gLNRe",Time of last alcoholic drink,<<<Update,NUDGE0046,IGNORE,,rec6QXhDyyqwyuLdd,"rec6QXhDyyqwyuLdd, recOT0nP41iwVDLKR",,"recoqKp5S1t5LJBPR, rec7oTAqy4RcOdxL5, rectdtBRGpO8iCiJF","recOa0A8aEuZYmzwo, recgZWg1fUBxKXdHf, rec7PgKQJcLDix6M6","REC0044.1, REC0044.2, REC0044.3","RO002, RO003",recJrNIL5Ft3i4FRT
rec4pZKchlwcEivTq,needs_discussion,rec4eXSu9DUB9OTrZ,"CH0029, CH0063",,"recS2ksfR1nrENr0V, rec0n2CDSyA2sM1sP, recCMBUOmMnsElot4","recmJnFh2BJjHboWO, reckDaSnyriAU2nkU, recbquDMszxCFuzsu",timestamp,recytNvyzHZGgsZdY,NOT REQUIRED,11:59 PM,12 AM,"Why: The Longevity Impact
Blue light suppresses melatonin production and overstimulates the brain. Device use before bed significantly impairs sleep quality and duration.

Optimal Target
Stop all screens 1-2 hours before bedtime. Use blue light filters if necessary device use is unavoidable.

Quick Tips
Create charging stations outside bedroom, use analog alarm clocks, read physical books, try meditation apps with audio only.","Total screen time (phones, tablets, TVs) within the final 2 hours before sleep.",See First Meal Time ,"Date, Time",,,,TM055,,,"recLblhnXjPvPGMmj, recJkNzpUTB17O5t8, recocYYB6fhtj8Gbh",Time of digital device cessation,<<<Update,NUDGE0156,IGNORE,,rec6QXhDyyqwyuLdd,"rec6QXhDyyqwyuLdd, recIdXMUiA9tWGVL8",,"recNr2xH29wt4vOhr, recjbyr8aLozcFyHZ, recngyI7rmNIHoLbP","recGh6O2C584Rs5hb, recEqy64zFUA9Aoo0, recjiJvgL1A2lUZ69","REC0045.1, REC0045.2, REC0045.3","RO002, RO003",recJrNIL5Ft3i4FRT
recjgSgnrdLSBJBZe,needs_discussion,recH8WEzKPkXv3ivr,,,recOWhxpklTDtxDoq,"reciY6yCiPiy2vSiQ, recFaYQec0V1oH2po, rec9AuwutTi8zuNt9",float,recoMKPV9asM5gw4E,NOT REQUIRED,120,40,"Why: The Longevity Impact
Lower resting heart rate indicates better cardiovascular fitness and autonomic nervous system health. It's a strong predictor of longevity and heart health.

Optimal Target
50-70 bpm for healthy adults. Athletes may have lower rates. Track trends rather than focusing on single measurements.

Quick Tips
Improve through regular cardio, manage stress, ensure adequate sleep, limit caffeine, practice deep breathing exercises.","Average resting heart rate in beats per minute (bpm), typically captured during sleep or inactivity.",See First Meal Time ,"Date, Measurement",Integer,reccHAHft4JmcBw0C,,TM056,,recLuAlDIETnvUUtO,,Resting Heart Rate,<<<Update,,IGNORE,reczYQvFvAsy495nv,reclbVFCBWmPyvvhP,"reclbVFCBWmPyvvhP, recOT0nP41iwVDLKR, recp0marLNu65GGhd",,,,,RO028,recYXpdHEr2ssGfnV
