ID,Title,therapeutic_summary,therapeutic_recommendation,stack_summary,stack_recommendation,therapeutic_type_ref_#,option_count,therapeutic_count,therapeutic_type,therapeutic_1,therapeutic_1_overview,therapeutic_1_recommendation,therapeutic_1_type,therapeutic_1_category,therapeutic_1_operator,therapeutic_1_dose_min,therapeutic_1_dose_max,therapeutic_1_unit,therapeutic_1_unit_symbol,therapeutic_1_dose_rollup,therapeutic_1_frequency_days,therapeutic_1_timing,therapeutic_1_linked_evidence,therapeutic_1_age_min,therapeutic_1_age_max,therapeutic_1_gender,therapeutic_2,therapeutic_2_type,therapeutic_2_category,therapeutic_2_operator,therapeutic_2_dose_min,therapeutic_2_dose_max,therapeutic_2_unit,therapeutic_2_unit_symbol,therapeutic_2_dose_rollup,therapeutic_2_frequency_days,therapeutic_2_timing,therapeutic_2_linked_evidence,therapeutic_2_age_min,therapeutic_2_age_max,therapeutic_2_gender,therapeutic_3,therapeutic_3_type,therapeutic_3_category,therapeutic_3_operator,therapeutic_3_dose_min,therapeutic_3_dose_max,therapeutic_3_unit,therapeutic_3_unit_symbol,therapeutic_3_dose_rollup,therapeutic_3_frequency_days,therapeutic_3_timing,therapeutic_3_linked_evidence,therapeutic_3_age_min,therapeutic_3_age_max,therapeutic_3_gender,Linked Evidence,Last Modified,Last Modified By,record_id
PEP002(ii)-SINGLE,Liraglutide: GLP-1 Agonist,Incretin mimetic for metabolic optimization,"Take 1.2-3mg of Liraglutide at any time daily for metabolic optimization, appetite regulation, and cardiovascular benefits",,,002,(ii),SINGLE,PEP,Liraglutide,Incretin mimetic for metabolic optimization,"Take 1.2-3mg of Liraglutide at any time daily for metabolic optimization, appetite regulation, and cardiovascular benefits",PEP,GLP-1 Agonist,<>,1.2,3.0,milligram,mg,1.2-3 mg,1.0,Any,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:33am,Keegan Dolan,recLpKyJ2dam4PxO9
PEP003-STACK,CJC-1295 + Ipamorelin Stack,"Synergistic peptide combination that optimizes natural growth hormone release - CJC-1295 provides sustained GHRH stimulation while Ipamorelin offers pulsatile GHRP activation. Together they enhance body composition, recovery, and anti-aging benefits with minimal side effects.","Take 100-200mcg of CJC-1295 (before bed) and 200-300mcg of Ipamorelin (empty stomach) every 3 days for natural growth hormone optimization, body composition improvement, enhanced recovery, muscle preservation, and metabolic benefits","Synergistic peptide combination that optimizes natural growth hormone release - CJC-1295 provides sustained GHRH stimulation while Ipamorelin offers pulsatile GHRP activation. Together they enhance body composition, recovery, and anti-aging benefits with minimal side effects.","Take 100-200mcg of CJC-1295 (before bed) and 200-300mcg of Ipamorelin (empty stomach) every 3 days for natural growth hormone optimization, body composition improvement, enhanced recovery, muscle preservation, and metabolic benefits",003,,STACK,PEP,CJC-1295,GHRH analog for growth hormone optimization,"Take 100-200mcg of CJC-1295 before bed every 3 days for growth hormone optimization, muscle preservation, fat metabolism, and recovery enhancement",PEP,Growth Hormone Peptide,<>,100.0,200.0,microgram,µg,100-200 µg,3.0,Before bed,,21.0,150.0,male_female,Ipamorelin,PEP,Growth Hormone Peptide,<>,200.0,300.0,microgram,µg,200-300 µg,3.0,Empty stomach,,21.0,150.0,male_female,,,,,,,,,,,,,,,,"LI087,LI356,LI357,LI358,LI359",9/27/2025 10:59am,Keegan Dolan,rectSvR0DGkWchk46
PEP004-SINGLE,BPC-157: Healing Peptide,Gastric pentadecapeptide for tissue repair,"Take 250-500mcg of BPC-157 on empty stomach daily for tissue repair, gut health, injury recovery, and systemic healing support",,,004,,SINGLE,PEP,BPC-157,Gastric pentadecapeptide for tissue repair,"Take 250-500mcg of BPC-157 on empty stomach daily for tissue repair, gut health, injury recovery, and systemic healing support",PEP,Healing Peptide,<>,250.0,500.0,microgram,µg,250-500 µg,1.0,Empty stomach,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LI360,LI361,LI362,LI363",9/27/2025 10:33am,Keegan Dolan,recWaxSdkoYowWptr
PEP005-SINGLE,TB-500: Healing Peptide,Thymosin beta-4 fragment for tissue regeneration,"Take 2-5mg of TB-500 at any time weekly for tissue regeneration, injury recovery, cardiovascular health, and anti-inflammatory effects",,,005,,SINGLE,PEP,TB-500,Thymosin beta-4 fragment for tissue regeneration,"Take 2-5mg of TB-500 at any time weekly for tissue regeneration, injury recovery, cardiovascular health, and anti-inflammatory effects",PEP,Healing Peptide,<>,2.0,5.0,milligram,mg,2-5 mg,7.0,Any,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LI364,LI365,LI366",9/27/2025 10:33am,Keegan Dolan,recEt38gYzl5Uj7EX
PEP006-STACK,BPC-157 + TB-500 Stack,"Powerful healing peptide combination - BPC-157 promotes gut health and localized tissue repair while TB-500 enhances systemic tissue regeneration and cardiovascular health. Together they accelerate healing, reduce inflammation, and support comprehensive tissue maintenance.","Take 250-500mcg of BPC-157 (empty stomach daily) and 2-5mg of TB-500 (any time weekly) for accelerated tissue repair, injury recovery, gut health optimization, cardiovascular protection, and comprehensive healing support","Powerful healing peptide combination - BPC-157 promotes gut health and localized tissue repair while TB-500 enhances systemic tissue regeneration and cardiovascular health. Together they accelerate healing, reduce inflammation, and support comprehensive tissue maintenance.","Take 250-500mcg of BPC-157 (empty stomach daily) and 2-5mg of TB-500 (any time weekly) for accelerated tissue repair, injury recovery, gut health optimization, cardiovascular protection, and comprehensive healing support",006,,STACK,PEP,BPC-157,Gastric pentadecapeptide for tissue repair,"Take 250-500mcg of BPC-157 on empty stomach daily for tissue repair, gut health, injury recovery, and systemic healing support",PEP,Healing Peptide,<>,250.0,500.0,microgram,µg,250-500 µg,1.0,Empty stomach,,21.0,150.0,male_female,TB-500,PEP,Healing Peptide,<>,2.0,5.0,milligram,mg,2-5 mg,7.0,Any,,21.0,150.0,male_female,,,,,,,,,,,,,,,,"LI367,LI368,LI369",9/27/2025 10:59am,Keegan Dolan,recniL0lWjVJJokug
PEP007-SINGLE,Epitalon: Longevity Peptide,Telomerase activator for cellular aging,"Take 10-20mg of Epitalon before bed daily for telomerase activation, cellular aging reversal, circadian rhythm regulation, and longevity enhancement",,,007,,SINGLE,PEP,Epitalon,Telomerase activator for cellular aging,"Take 10-20mg of Epitalon before bed daily for telomerase activation, cellular aging reversal, circadian rhythm regulation, and longevity enhancement",PEP,Longevity Peptide,<>,10.0,20.0,milligram,mg,10-20 mg,1.0,Before bed,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LI364,LI365,LI366,LI367,LI368,LI369,LI370",9/27/2025 10:34am,Keegan Dolan,recgKfnDcYPAgWKHE
PEP008-SINGLE,Thymalin: Immune Peptide,Thymic peptide for immune system support,"Take 5-10mg of Thymalin at any time every 3 days for immune system optimization, thymic function restoration, and healthy aging",,,008,,SINGLE,PEP,Thymalin,Thymic peptide for immune system support,"Take 5-10mg of Thymalin at any time every 3 days for immune system optimization, thymic function restoration, and healthy aging",PEP,Immune Peptide,<>,5.0,10.0,milligram,mg,5-10 mg,3.0,Any,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:34am,Keegan Dolan,recapEFmJYjrL6jpK
PEP009-STACK,Epitalon + Thymalin Stack,Complementary peptides targeting cellular aging and immune function - Epitalon activates telomerase and regulates circadian rhythms while Thymalin restores thymic function and immune competence. Together they address two key pillars of healthy aging.,"Take 10-20mg of Epitalon (before bed daily) and 5-10mg of Thymalin (any time every 3 days) for telomerase activation, immune system restoration, circadian rhythm optimization, cellular aging reversal, and comprehensive longevity enhancement",Complementary peptides targeting cellular aging and immune function - Epitalon activates telomerase and regulates circadian rhythms while Thymalin restores thymic function and immune competence. Together they address two key pillars of healthy aging.,"Take 10-20mg of Epitalon (before bed daily) and 5-10mg of Thymalin (any time every 3 days) for telomerase activation, immune system restoration, circadian rhythm optimization, cellular aging reversal, and comprehensive longevity enhancement",009,,STACK,PEP,Epitalon,Telomerase activator for cellular aging,"Take 10-20mg of Epitalon before bed daily for telomerase activation, cellular aging reversal, circadian rhythm regulation, and longevity enhancement",PEP,Longevity Peptide,<>,10.0,20.0,milligram,mg,10-20 mg,1.0,Before bed,,21.0,150.0,male_female,Thymalin,PEP,Immune Peptide,<>,5.0,10.0,milligram,mg,5-10 mg,3.0,Any,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,9/27/2025 10:59am,Keegan Dolan,recTRaueW58CTs55v
PEP010-SINGLE,MOTS-c: Mitochondrial Peptide,Mitochondrial-derived peptide for metabolism,"Take 10-20mg of MOTS-c in the morning every 3 days for mitochondrial function, metabolic optimization, exercise capacity, and longevity",,,010,,SINGLE,PEP,MOTS-c,Mitochondrial-derived peptide for metabolism,"Take 10-20mg of MOTS-c in the morning every 3 days for mitochondrial function, metabolic optimization, exercise capacity, and longevity",PEP,Mitochondrial Peptide,<>,10.0,20.0,milligram,mg,10-20 mg,3.0,Morning,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:34am,Keegan Dolan,recKfsD4Kgd3T8dyJ
PEP011-SINGLE,Humanin: Mitochondrial Peptide,Neuroprotective mitochondrial peptide,"Take 5-10mg of Humanin at any time every 3 days for neuroprotection, mitochondrial health, cellular survival, and cognitive preservation",,,011,,SINGLE,PEP,Humanin,Neuroprotective mitochondrial peptide,"Take 5-10mg of Humanin at any time every 3 days for neuroprotection, mitochondrial health, cellular survival, and cognitive preservation",PEP,Mitochondrial Peptide,<>,5.0,10.0,milligram,mg,5-10 mg,3.0,Any,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:34am,Keegan Dolan,recG9BmyzPJTCiHVE
PEP012-SINGLE,GHK-Cu: Copper Peptide,Tissue remodeling and wound healing peptide,"Take 2-5mg of GHK-Cu at any time daily for tissue remodeling, wound healing, skin health, and anti-aging benefits",,,012,,SINGLE,PEP,GHK-Cu,Tissue remodeling and wound healing peptide,"Take 2-5mg of GHK-Cu at any time daily for tissue remodeling, wound healing, skin health, and anti-aging benefits",PEP,Copper Peptide,<>,2.0,5.0,milligram,mg,2-5 mg,1.0,Any,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:34am,Keegan Dolan,recKXlk5my5z2ItQq
PEP013-SINGLE,SS-31: Mitochondrial Peptide,Mitochondrial-targeted antioxidant peptide,"Take 5-20mg of SS-31 at any time daily for mitochondrial protection, cellular energy optimization, and cardioprotection",,,013,,SINGLE,PEP,SS-31,Mitochondrial-targeted antioxidant peptide,"Take 5-20mg of SS-31 at any time daily for mitochondrial protection, cellular energy optimization, and cardioprotection",PEP,Mitochondrial Peptide,<>,5.0,20.0,milligram,mg,5-20 mg,1.0,Any,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:34am,Keegan Dolan,recWVj4Mby0hWd2WX
PEP014-SINGLE,Tesamorelin: Growth Hormone Peptide,GHRH analog for body composition,"Take 1-2mg of Tesamorelin before bed daily for visceral fat reduction, body composition optimization, and metabolic health",,,014,,SINGLE,PEP,Tesamorelin,GHRH analog for body composition,"Take 1-2mg of Tesamorelin before bed daily for visceral fat reduction, body composition optimization, and metabolic health",PEP,Growth Hormone Peptide,<>,1.0,2.0,milligram,mg,1-2 mg,1.0,Before bed,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:34am,Keegan Dolan,recILoTSc1W8sEfls
PEP015-SINGLE,Thymosin Alpha-1: Immune Peptide,Immunomodulatory peptide for immune enhancement,"Take 1.6-3.2mg of Thymosin Alpha-1 at any time every 3 days for immune enhancement, viral resistance, and longevity support",,,015,,SINGLE,PEP,Thymosin Alpha-1,Immunomodulatory peptide for immune enhancement,"Take 1.6-3.2mg of Thymosin Alpha-1 at any time every 3 days for immune enhancement, viral resistance, and longevity support",PEP,Immune Peptide,<>,1.6,3.2,milligram,mg,1.6-3.2 mg,3.0,Any,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:35am,Keegan Dolan,recg47C0MjDA9cFAY
PEP016-SINGLE,Melanotan II: Peptide Hormone,Melanocortin receptor agonist for skin protection,"Take 0.25-1mg of Melanotan II before bed daily for skin protection, melanin production, and potential metabolic benefits",,,016,,SINGLE,PEP,Melanotan II,Melanocortin receptor agonist for skin protection,"Take 0.25-1mg of Melanotan II before bed daily for skin protection, melanin production, and potential metabolic benefits",PEP,Peptide Hormone,<>,0.3,1.0,milligram,mg,0.25-1 mg,1.0,Before bed,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:35am,Keegan Dolan,recR9fwZUUbMvSt2V
PEP017-SINGLE,FOXO4-DRI: Senolytic Peptide,Senescent cell elimination peptide,"Take 5-10mg of FOXO4-DRI at any time monthly for senescent cell elimination, tissue rejuvenation, and healthy aging",,,017,,SINGLE,PEP,FOXO4-DRI,Senescent cell elimination peptide,"Take 5-10mg of FOXO4-DRI at any time monthly for senescent cell elimination, tissue rejuvenation, and healthy aging",PEP,Senolytic Peptide,<>,5.0,10.0,milligram,mg,5-10 mg,30.0,Any,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:35am,Keegan Dolan,rec9hiupXO4YxRDli
PEP018-SINGLE,Selank: Nootropic Peptide,Anxiolytic peptide for stress and cognition,"Take 0.5-1.5mg of Selank in the morning daily for stress reduction, cognitive enhancement, immune modulation, and neuroprotection",,,018,,SINGLE,PEP,Selank,Anxiolytic peptide for stress and cognition,"Take 0.5-1.5mg of Selank in the morning daily for stress reduction, cognitive enhancement, immune modulation, and neuroprotection",PEP,Nootropic Peptide,<>,0.5,1.5,milligram,mg,0.5-1.5 mg,1.0,Morning,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:35am,Keegan Dolan,recBI4DoR3OMeTOwC
PEP019-SINGLE,Semax: Nootropic Peptide,Cognitive enhancement and neuroprotection,"Take 0.2-1mg of Semax in the morning daily for cognitive enhancement, neuroprotection, memory improvement, and brain health",,,019,,SINGLE,PEP,Semax,Cognitive enhancement and neuroprotection,"Take 0.2-1mg of Semax in the morning daily for cognitive enhancement, neuroprotection, memory improvement, and brain health",PEP,Nootropic Peptide,<>,0.2,1.0,milligram,mg,0.2-1 mg,1.0,Morning,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:35am,Keegan Dolan,rece4LqhrZMUfGr0W
PEP020-SINGLE,Kisspeptin: Reproductive Peptide,Gonadotropin-releasing hormone stimulator,Take 1-5mcg of Kisspeptin at any time daily for reproductive health optimization and hormonal balance,,,020,,SINGLE,PEP,Kisspeptin,Gonadotropin-releasing hormone stimulator,Take 1-5mcg of Kisspeptin at any time daily for reproductive health optimization and hormonal balance,PEP,Reproductive Peptide,<>,1.0,5.0,microgram,µg,1-5 µg,1.0,Any,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:35am,Keegan Dolan,recIHQ9b8Jw3zFcd3
PEP021-SINGLE,Tesofensine: Weight Loss Drug,Triple reuptake inhibitor for body composition,"Take 0.25-0.5mg of Tesofensine in the morning daily for body composition optimization, metabolic enhancement, and weight management",,,021,,SINGLE,PEP,Tesofensine,Triple reuptake inhibitor for body composition,"Take 0.25-0.5mg of Tesofensine in the morning daily for body composition optimization, metabolic enhancement, and weight management",PEP,Weight Loss Drug,<>,0.3,0.5,milligram,mg,0.25-0.5 mg,1.0,Morning,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:35am,Keegan Dolan,recKbx33jkfn7s03A
PEP022-SINGLE,LL-37: Antimicrobial Peptide,Human cathelicidin for immune defense,"Take 2-5mg of LL-37 at any time every 3 days for immune defense, antimicrobial protection, and wound healing",,,022,,SINGLE,PEP,LL-37,Human cathelicidin for immune defense,"Take 2-5mg of LL-37 at any time every 3 days for immune defense, antimicrobial protection, and wound healing",PEP,Antimicrobial Peptide,<>,2.0,5.0,milligram,mg,2-5 mg,3.0,Any,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:35am,Keegan Dolan,recHVDGLzTS8NrPOi
PEP023-SINGLE,IGF-1 LR3: Growth Factor,Long-acting insulin-like growth factor,"Take 20-50mcg of IGF-1 LR3 in the morning every 3 days for muscle preservation, tissue repair, and anti-aging benefits",,,023,,SINGLE,PEP,IGF-1 LR3,Long-acting insulin-like growth factor,"Take 20-50mcg of IGF-1 LR3 in the morning every 3 days for muscle preservation, tissue repair, and anti-aging benefits",PEP,Growth Factor,<>,20.0,50.0,microgram,µg,20-50 µg,3.0,Morning,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:35am,Keegan Dolan,recvfW5RJ1bA5UJUT
PEP024-SINGLE,MGF: Growth Factor,Mechano-growth factor for muscle maintenance,"Take 100-200mcg of MGF at any time every 3 days for muscle maintenance, recovery enhancement, and tissue regeneration",,,024,,SINGLE,PEP,MGF,Mechano-growth factor for muscle maintenance,"Take 100-200mcg of MGF at any time every 3 days for muscle maintenance, recovery enhancement, and tissue regeneration",PEP,Growth Factor,<>,100.0,200.0,microgram,µg,100-200 µg,3.0,Any,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:35am,Keegan Dolan,recp2mgJzDwDJCGRI
MED001(i)-SINGLE,Atorvastatin: Statin,HMG-CoA reductase inhibitor for cardiovascular protection,"Take 10-40mg of Atorvastatin before bed daily for cardiovascular protection, cholesterol optimization, and potential longevity benefits",,,001,(i),SINGLE,MED,Atorvastatin,HMG-CoA reductase inhibitor for cardiovascular protection,"Take 10-40mg of Atorvastatin before bed daily for cardiovascular protection, cholesterol optimization, and potential longevity benefits",MED,Statin,<>,10.0,40.0,milligram,mg,10-40 mg,1.0,Before bed,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:36am,Keegan Dolan,recXhaC4ADP9RrHko
MED001(ii)-SINGLE,Rosuvastatin: Statin,HMG-CoA reductase inhibitor for cardiovascular protection,"Take 5-20mg of Rosuvastatin at any time daily for aggressive cholesterol management, cardiovascular protection, and pleiotropic benefits",,,001,(ii),SINGLE,MED,Rosuvastatin,HMG-CoA reductase inhibitor for cardiovascular protection,"Take 5-20mg of Rosuvastatin at any time daily for aggressive cholesterol management, cardiovascular protection, and pleiotropic benefits",MED,Statin,<>,5.0,20.0,milligram,mg,5-20 mg,1.0,Any,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:36am,Keegan Dolan,rec0dY61WEPhyrOMh
MED001(iii)-SINGLE,Pravastatin: Statin,HMG-CoA reductase inhibitor for cardiovascular protection,"Take 20-40mg of Pravastatin before bed daily for cardiovascular health, cholesterol management, and anti-inflammatory effects",,,001,(iii),SINGLE,MED,Pravastatin,HMG-CoA reductase inhibitor for cardiovascular protection,"Take 20-40mg of Pravastatin before bed daily for cardiovascular health, cholesterol management, and anti-inflammatory effects",MED,Statin,<>,20.0,40.0,milligram,mg,20-40 mg,1.0,Before bed,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:36am,Keegan Dolan,recxKJ03cEFPPGhVb
MED002-SINGLE,Ezetimibe: Cholesterol Absorption Inhibitor,NPC1L1 inhibitor for cholesterol optimization,Take 10mg of Ezetimibe at any time daily for additional cholesterol reduction and cardiovascular protection,,,002,,SINGLE,MED,Ezetimibe,NPC1L1 inhibitor for cholesterol optimization,Take 10mg of Ezetimibe at any time daily for additional cholesterol reduction and cardiovascular protection,MED,Cholesterol Absorption Inhibitor,=,10.0,,milligram,mg,10 mg,1.0,Any,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:37am,Keegan Dolan,recbp5Z02WJMGGHB1
MED003(i)-SINGLE,Evolocumab: PCSK9 Inhibitor,Monoclonal antibody for aggressive cholesterol control,Take 140-420mg of Evolocumab at any time every 2 weeks for aggressive cholesterol management and cardiovascular risk reduction,,,003,(i),SINGLE,MED,Evolocumab,Monoclonal antibody for aggressive cholesterol control,Take 140-420mg of Evolocumab at any time every 2 weeks for aggressive cholesterol management and cardiovascular risk reduction,MED,PCSK9 Inhibitor,<>,140.0,420.0,milligram,mg,140-420 mg,14.0,Any,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:40am,Keegan Dolan,recmk6CmH3NmlutQW
MED003(ii)-SINGLE,Alirocumab: PCSK9 Inhibitor,Monoclonal antibody for aggressive cholesterol control,Take 75-150mg of Alirocumab at any time every 2 weeks for optimal cholesterol control and cardiovascular protection,,,003,(ii),SINGLE,MED,Alirocumab,Monoclonal antibody for aggressive cholesterol control,Take 75-150mg of Alirocumab at any time every 2 weeks for optimal cholesterol control and cardiovascular protection,MED,PCSK9 Inhibitor,<>,75.0,150.0,milligram,mg,75-150 mg,14.0,Any,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:40am,Keegan Dolan,rec83sCoW9fWB9Ofp
MED004-SINGLE,Bempedoic Acid: Cholesterol Synthesis Inhibitor,ATP citrate lyase inhibitor,Take 180mg of Bempedoic Acid at any time daily for cholesterol reduction and cardiovascular benefits,,,004,,SINGLE,MED,Bempedoic Acid,ATP citrate lyase inhibitor,Take 180mg of Bempedoic Acid at any time daily for cholesterol reduction and cardiovascular benefits,MED,Cholesterol Synthesis Inhibitor,=,180.0,,milligram,mg,180 mg,1.0,Any,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:40am,Keegan Dolan,recJ6KKGNcsa5CbEb
MED005(i)-SINGLE,Fenofibrate: Fibrate,PPARα agonist for triglyceride optimization,Take 48-145mg of Fenofibrate with meals daily for triglyceride optimization and cardiovascular protection,,,005,(i),SINGLE,MED,Fenofibrate,PPARα agonist for triglyceride optimization,Take 48-145mg of Fenofibrate with meals daily for triglyceride optimization and cardiovascular protection,MED,Fibrate,<>,48.0,145.0,milligram,mg,48-145 mg,1.0,With meals,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:40am,Keegan Dolan,receE5K33VsITAQ3l
MED005(ii)-SINGLE,Gemfibrozil: Fibrate,PPARα agonist for triglyceride optimization,"Take 600-1,200mg of Gemfibrozil before meals daily for triglyceride management and cardiovascular health",,,005,(ii),SINGLE,MED,Gemfibrozil,PPARα agonist for triglyceride optimization,"Take 600-1,200mg of Gemfibrozil before meals daily for triglyceride management and cardiovascular health",MED,Fibrate,<>,600.0,1200.0,milligram,mg,600-1200 mg,1.0,Before meals,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:40am,Keegan Dolan,recEYP7vktyz0N8iJ
MED006(i)-SINGLE,Icosapent Ethyl: Omega-3 Prescription,Purified EPA for cardiovascular optimization,Take 2-4g of Icosapent Ethyl with meals daily for cardiovascular risk reduction and triglyceride management,,,006,(i),SINGLE,MED,Icosapent Ethyl,Purified EPA for cardiovascular optimization,Take 2-4g of Icosapent Ethyl with meals daily for cardiovascular risk reduction and triglyceride management,MED,Omega-3 Prescription,<>,2.0,4.0,gram,g,2-4 g,1.0,With meals,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:41am,Keegan Dolan,recsQfkX0Ks0uGu0x
MED006(ii)-SINGLE,Vascepa: Omega-3 Prescription,Purified EPA for cardiovascular optimization,Take 2-4g of Vascepa with meals daily for cardiovascular protection and anti-inflammatory benefits,,,006,(ii),SINGLE,MED,Vascepa,Purified EPA for cardiovascular optimization,Take 2-4g of Vascepa with meals daily for cardiovascular protection and anti-inflammatory benefits,MED,Omega-3 Prescription,<>,2.0,4.0,gram,g,2-4 g,1.0,With meals,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:41am,Keegan Dolan,rec8x3aKZgY5lMUFT
