ID,Title,therapeutic_summary,therapeutic_recommendation,stack_summary,stack_recommendation,therapeutic_type_ref_#,option_count,therapeutic_count,therapeutic_type,therapeutic_1,therapeutic_1_overview,therapeutic_1_recommendation,therapeutic_1_type,therapeutic_1_category,therapeutic_1_operator,therapeutic_1_dose_min,therapeutic_1_dose_max,therapeutic_1_unit,therapeutic_1_unit_symbol,therapeutic_1_dose_rollup,therapeutic_1_frequency_days,therapeutic_1_timing,therapeutic_1_linked_evidence,therapeutic_1_age_min,therapeutic_1_age_max,therapeutic_1_gender,therapeutic_2,therapeutic_2_type,therapeutic_2_category,therapeutic_2_operator,therapeutic_2_dose_min,therapeutic_2_dose_max,therapeutic_2_unit,therapeutic_2_unit_symbol,therapeutic_2_dose_rollup,therapeutic_2_frequency_days,therapeutic_2_timing,therapeutic_2_linked_evidence,therapeutic_2_age_min,therapeutic_2_age_max,therapeutic_2_gender,therapeutic_3,therapeutic_3_type,therapeutic_3_category,therapeutic_3_operator,therapeutic_3_dose_min,therapeutic_3_dose_max,therapeutic_3_unit,therapeutic_3_unit_symbol,therapeutic_3_dose_rollup,therapeutic_3_frequency_days,therapeutic_3_timing,therapeutic_3_linked_evidence,therapeutic_3_age_min,therapeutic_3_age_max,therapeutic_3_gender,Linked Evidence,Last Modified,Last Modified By,record_id
MED007(i)-SINGLE,Cholestyramine: Bile Acid Sequestrant,Bile acid binding resin for cholesterol,Take 8-16g of Cholestyramine before meals daily for cholesterol reduction and bile acid optimization,,,007,(i),SINGLE,MED,Cholestyramine,Bile acid binding resin for cholesterol,Take 8-16g of Cholestyramine before meals daily for cholesterol reduction and bile acid optimization,MED,Bile Acid Sequestrant,<>,8.0,16.0,gram,g,8-16 g,1.0,Before meals,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:42am,Keegan Dolan,recW3shrY0gT5x2lI
MED007(ii)-SINGLE,Colesevelam: Bile Acid Sequestrant,Bile acid binding agent for cholesterol,Take 3.75-4.375g of Colesevelam with meals daily for cholesterol management and glucose control,,,007,(ii),SINGLE,MED,Colesevelam,Bile acid binding agent for cholesterol,Take 3.75-4.375g of Colesevelam with meals daily for cholesterol management and glucose control,MED,Bile Acid Sequestrant,<>,3.8,4.4,gram,g,3.75-4.375 g,1.0,With meals,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:42am,Keegan Dolan,recXAfitq6HLpsxc2
MED007(iii)-SINGLE,Colestipol: Bile Acid Sequestrant,Bile acid binding resin for cholesterol,Take 10-20g of Colestipol before meals daily for cholesterol reduction and cardiovascular protection,,,007,(iii),SINGLE,MED,Colestipol,Bile acid binding resin for cholesterol,Take 10-20g of Colestipol before meals daily for cholesterol reduction and cardiovascular protection,MED,Bile Acid Sequestrant,<>,10.0,20.0,gram,g,10-20 g,1.0,Before meals,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:42am,Keegan Dolan,recjNjSpoVRlD7N53
MED008-SINGLE,Metformin: Biguanide,Glucose optimization and longevity pathways,"Take 500-2,000mg of Metformin with meals daily for glucose optimization, longevity pathways activation, and metabolic health",,,008,,SINGLE,MED,Metformin,Glucose optimization and longevity pathways,"Take 500-2,000mg of Metformin with meals daily for glucose optimization, longevity pathways activation, and metabolic health",MED,Biguanide,<>,500.0,2000.0,milligram,mg,500-2000 mg,1.0,With meals,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:42am,Keegan Dolan,rectdPi389LJ4nzH4
MED009(i)-SINGLE,Empagliflozin: SGLT2 Inhibitor,Metabolic optimization and cardioprotection,"Take 10-25mg of Empagliflozin in the morning daily for metabolic optimization, cardiovascular protection, and potential longevity benefits",,,009,(i),SINGLE,MED,Empagliflozin,Metabolic optimization and cardioprotection,"Take 10-25mg of Empagliflozin in the morning daily for metabolic optimization, cardiovascular protection, and potential longevity benefits",MED,SGLT2 Inhibitor,<>,10.0,25.0,milligram,mg,10-25 mg,1.0,Morning,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LI087,9/27/2025 10:44am,Keegan Dolan,rec0ioZWRXM208MOR
MED009(ii)-SINGLE,Dapagliflozin: SGLT2 Inhibitor,Metabolic optimization and cardioprotection,"Take 5-10mg of Dapagliflozin in the morning daily for metabolic health, cardiovascular benefits, and weight management",,,009,(ii),SINGLE,MED,Dapagliflozin,Metabolic optimization and cardioprotection,"Take 5-10mg of Dapagliflozin in the morning daily for metabolic health, cardiovascular benefits, and weight management",MED,SGLT2 Inhibitor,<>,5.0,10.0,milligram,mg,5-10 mg,1.0,Morning,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:44am,Keegan Dolan,rec75ksnDkWIKyFEJ
MED010(i)-SINGLE,Lisinopril: ACE Inhibitor,Cardiovascular protection and longevity,"Take 5-20mg of Lisinopril at any time daily for cardiovascular protection, blood pressure optimization, and longevity benefits",,,010,(i),SINGLE,MED,Lisinopril,Cardiovascular protection and longevity,"Take 5-20mg of Lisinopril at any time daily for cardiovascular protection, blood pressure optimization, and longevity benefits",MED,ACE Inhibitor,<>,5.0,20.0,milligram,mg,5-20 mg,1.0,Any,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:44am,Keegan Dolan,reckK5qGXQ8sWapSG
MED010(ii)-SINGLE,Losartan: ARB,Cardiovascular protection and longevity,"Take 25-100mg of Losartan at any time daily for cardiovascular health, kidney protection, and anti-aging benefits",,,010,(ii),SINGLE,MED,Losartan,Cardiovascular protection and longevity,"Take 25-100mg of Losartan at any time daily for cardiovascular health, kidney protection, and anti-aging benefits",MED,ARB,<>,25.0,100.0,milligram,mg,25-100 mg,1.0,Any,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:44am,Keegan Dolan,recyHLz8Ff02WdHwe
MED011(i)-SINGLE,Metoprolol: Beta Blocker,Cardiovascular protection,"Take 50-200mg of Metoprolol in divided doses daily for heart health, blood pressure control, and cardiovascular longevity",,,011,(i),SINGLE,MED,Metoprolol,Cardiovascular protection,"Take 50-200mg of Metoprolol in divided doses daily for heart health, blood pressure control, and cardiovascular longevity",MED,Beta Blocker,<>,50.0,200.0,milligram,mg,50-200 mg,1.0,Divided,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:44am,Keegan Dolan,recWrUlNA70SboKGJ
MED011(ii)-SINGLE,Bisoprolol: Beta Blocker,Cardiovascular protection,Take 2.5-10mg of Bisoprolol in the morning daily for cardiovascular protection and stress response optimization,,,011,(ii),SINGLE,MED,Bisoprolol,Cardiovascular protection,Take 2.5-10mg of Bisoprolol in the morning daily for cardiovascular protection and stress response optimization,MED,Beta Blocker,<>,2.5,10.0,milligram,mg,2.5-10 mg,1.0,Morning,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:45am,Keegan Dolan,recHQSz6isXnQ8wcG
MED012(i)-SINGLE,Amlodipine: Calcium Channel Blocker,Cardiovascular protection,Take 2.5-10mg of Amlodipine at any time daily for blood pressure optimization and cardiovascular protection,,,012,(i),SINGLE,MED,Amlodipine,Cardiovascular protection,Take 2.5-10mg of Amlodipine at any time daily for blood pressure optimization and cardiovascular protection,MED,Calcium Channel Blocker,<>,2.5,10.0,milligram,mg,2.5-10 mg,1.0,Any,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:45am,Keegan Dolan,recuY3ZLCNC82mb0W
MED012(ii)-SINGLE,Diltiazem: Calcium Channel Blocker,Cardiovascular protection,Take 120-360mg of Diltiazem at any time daily for cardiovascular health and blood pressure management,,,012,(ii),SINGLE,MED,Diltiazem,Cardiovascular protection,Take 120-360mg of Diltiazem at any time daily for cardiovascular health and blood pressure management,MED,Calcium Channel Blocker,<>,120.0,360.0,milligram,mg,120-360 mg,1.0,Any,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:45am,Keegan Dolan,recrzH1PnmgHtsBeB
MED013(i)-SINGLE,Hydrochlorothiazide: Thiazide Diuretic,Cardiovascular protection,Take 12.5-25mg of Hydrochlorothiazide in the morning daily for blood pressure control and cardiovascular protection,,,013,(i),SINGLE,MED,Hydrochlorothiazide,Cardiovascular protection,Take 12.5-25mg of Hydrochlorothiazide in the morning daily for blood pressure control and cardiovascular protection,MED,Thiazide Diuretic,<>,12.5,25.0,milligram,mg,12.5-25 mg,1.0,Morning,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:45am,Keegan Dolan,recSbkWRXu3F84k38
MED013(ii)-SINGLE,Chlorthalidone: Thiazide Diuretic,Cardiovascular protection,Take 12.5-25mg of Chlorthalidone in the morning daily for long-term cardiovascular protection and blood pressure optimization,,,013,(ii),SINGLE,MED,Chlorthalidone,Cardiovascular protection,Take 12.5-25mg of Chlorthalidone in the morning daily for long-term cardiovascular protection and blood pressure optimization,MED,Thiazide Diuretic,<>,12.5,25.0,milligram,mg,12.5-25 mg,1.0,Morning,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:45am,Keegan Dolan,rec8JqsWgGBSQVszd
MED014-SINGLE,Spironolactone: Mineralocorticoid Antagonist,Cardiovascular and longevity benefits,"Take 25-50mg of Spironolactone with meals daily for cardiovascular benefits, aldosterone antagonism, and potential longevity effects",,,014,,SINGLE,MED,Spironolactone,Cardiovascular and longevity benefits,"Take 25-50mg of Spironolactone with meals daily for cardiovascular benefits, aldosterone antagonism, and potential longevity effects",MED,Mineralocorticoid Antagonist,<>,25.0,50.0,milligram,mg,25-50 mg,1.0,With meals,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:45am,Keegan Dolan,rec2rDRNjPBMICVx9
MED015(i)-SINGLE,Alendronate: Bisphosphonate,Bone health optimization,Take 35-70mg of Alendronate on empty stomach weekly for bone health optimization and fracture prevention,,,015,(i),SINGLE,MED,Alendronate,Bone health optimization,Take 35-70mg of Alendronate on empty stomach weekly for bone health optimization and fracture prevention,MED,Bisphosphonate,<>,35.0,70.0,milligram,mg,35-70 mg,7.0,Empty stomach,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:50am,Keegan Dolan,recKgi8mkh6IJqt2k
MED015(ii)-SINGLE,Risedronate: Bisphosphonate,Bone health optimization,Take 35mg of Risedronate on empty stomach weekly for bone density maintenance and skeletal health,,,015,(ii),SINGLE,MED,Risedronate,Bone health optimization,Take 35mg of Risedronate on empty stomach weekly for bone density maintenance and skeletal health,MED,Bisphosphonate,<>,35.0,35.0,milligram,mg,35-35 mg,7.0,Empty stomach,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:50am,Keegan Dolan,recrfSRfN2RnpyWYZ
MED016-SINGLE,Denosumab: RANKL Inhibitor,Bone health optimization,Take 60mg of Denosumab at any time every 6 months for bone health optimization and osteoporosis prevention,,,016,,SINGLE,MED,Denosumab,Bone health optimization,Take 60mg of Denosumab at any time every 6 months for bone health optimization and osteoporosis prevention,MED,RANKL Inhibitor,=,60.0,,milligram,mg,60 mg,180.0,Any,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:45am,Keegan Dolan,recAMl4mYkyezyuwU
MED017-SINGLE,Raloxifene: SERM,Bone and cardiovascular protection,"Take 60mg of Raloxifene at any time daily for bone health, cardiovascular protection, and selective estrogen benefits",,,017,,SINGLE,MED,Raloxifene,Bone and cardiovascular protection,"Take 60mg of Raloxifene at any time daily for bone health, cardiovascular protection, and selective estrogen benefits",MED,SERM,=,60.0,,milligram,mg,60 mg,1.0,Any,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:45am,Keegan Dolan,recZzvhZCbV6nurbL
MED018(i)-SINGLE,Teriparatide: PTH Analog,Bone anabolic therapy,Take 20mcg of Teriparatide at any time daily for bone anabolic therapy and skeletal health optimization,,,018,(i),SINGLE,MED,Teriparatide,Bone anabolic therapy,Take 20mcg of Teriparatide at any time daily for bone anabolic therapy and skeletal health optimization,MED,PTH Analog,=,20.0,,microgram,µg,20 µg,1.0,Any,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:50am,Keegan Dolan,recrhVged8JpbAjv7
MED018(ii)-SINGLE,Abaloparatide: PTH Analog,Bone anabolic therapy,Take 80mcg of Abaloparatide at any time daily for bone building and osteoporosis treatment,,,018,(ii),SINGLE,MED,Abaloparatide,Bone anabolic therapy,Take 80mcg of Abaloparatide at any time daily for bone building and osteoporosis treatment,MED,PTH Analog,=,80.0,,microgram,µg,80 µg,1.0,Any,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:50am,Keegan Dolan,reclQ38iUHyKWb3Mo
MED019-SINGLE,Levothyroxine: Thyroid Hormone,Thyroid optimization,Take 50-200mcg of Levothyroxine on empty stomach daily for thyroid optimization and metabolic health,,,019,,SINGLE,MED,Levothyroxine,Thyroid optimization,Take 50-200mcg of Levothyroxine on empty stomach daily for thyroid optimization and metabolic health,MED,Thyroid Hormone,<>,50.0,200.0,microgram,µg,50-200 µg,1.0,Empty stomach,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:46am,Keegan Dolan,recBNLz4hMaayJzT2
MED020-SINGLE,Testosterone Therapy: Hormone Replacement,Androgen optimization for longevity,"Take 100-200mg of Testosterone at any time weekly for hormonal optimization, muscle preservation, and vitality enhancement",,,020,,SINGLE,MED,Testosterone Therapy,Androgen optimization for longevity,"Take 100-200mg of Testosterone at any time weekly for hormonal optimization, muscle preservation, and vitality enhancement",MED,Hormone Replacement,<>,100.0,200.0,milligram,mg,100-200 mg,7.0,Any,,21.0,150.0,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:46am,Keegan Dolan,recBwRAydUZYxlW4q
MED021-SINGLE,Estrogen Therapy: Hormone Replacement,Estrogen optimization for longevity,"Take 0.5-1mg of Estrogen at any time daily for hormonal balance, bone health, and cardiovascular protection",,,021,,SINGLE,MED,Estrogen Therapy,Estrogen optimization for longevity,"Take 0.5-1mg of Estrogen at any time daily for hormonal balance, bone health, and cardiovascular protection",MED,Hormone Replacement,<>,0.5,1.0,milligram,mg,0.5-1 mg,1.0,Any,,21.0,150.0,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:46am,Keegan Dolan,rec1yXTGzs2BU436z
MED022-SINGLE,Progesterone Therapy: Hormone Replacement,Progesterone optimization,Take 100-400mg of Progesterone before bed daily for hormonal optimization and sleep quality,,,022,,SINGLE,MED,Progesterone Therapy,Progesterone optimization,Take 100-400mg of Progesterone before bed daily for hormonal optimization and sleep quality,MED,Hormone Replacement,<>,100.0,400.0,milligram,mg,100-400 mg,1.0,Before bed,,21.0,150.0,female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:46am,Keegan Dolan,recoZJGFMJnCcqUtc
MED023-SINGLE,DHEA: Hormone Supplement,Adrenal hormone optimization,Take 25-50mg of DHEA in the morning daily for adrenal hormone optimization and anti-aging benefits,,,023,,SINGLE,MED,DHEA,Adrenal hormone optimization,Take 25-50mg of DHEA in the morning daily for adrenal hormone optimization and anti-aging benefits,MED,Hormone Supplement,<>,25.0,50.0,milligram,mg,25-50 mg,1.0,Morning,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:46am,Keegan Dolan,recxILdEqrKG4yrMI
MED024(i)-SINGLE,Metoprolol: Beta Blocker,Cardiovascular protection,"Take 50-200mg of Metoprolol in divided doses daily for heart health, blood pressure control, and cardiovascular longevity",,,024,(i),SINGLE,MED,Metoprolol,Cardiovascular protection,"Take 50-200mg of Metoprolol in divided doses daily for heart health, blood pressure control, and cardiovascular longevity",MED,Beta Blocker,<>,50.0,200.0,milligram,mg,50-200 mg,1.0,Divided,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:46am,Keegan Dolan,rec4y4MOFGWGwcctM
MED024(ii)-SINGLE,Atenolol: Beta Blocker,Cardiovascular protection,Take 25-100mg of Atenolol at any time daily for cardiovascular protection and blood pressure control,,,024,(ii),SINGLE,MED,Atenolol,Cardiovascular protection,Take 25-100mg of Atenolol at any time daily for cardiovascular protection and blood pressure control,MED,Beta Blocker,<>,25.0,100.0,milligram,mg,25-100 mg,1.0,Any,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:47am,Keegan Dolan,rec9StOkrLneMg8rg
MED024(iii)-SINGLE,Carvedilol: Beta Blocker,Cardiovascular protection,Take 6.25-25mg of Carvedilol with meals daily for comprehensive cardiovascular protection and antioxidant benefits,,,024,(iii),SINGLE,MED,Carvedilol,Cardiovascular protection,Take 6.25-25mg of Carvedilol with meals daily for comprehensive cardiovascular protection and antioxidant benefits,MED,Beta Blocker,<>,6.3,25.0,milligram,mg,6.25-25 mg,1.0,With meals,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:47am,Keegan Dolan,rec99ECyaGY8DPSp4
MED024(iv)-SINGLE,Propranolol: Beta Blocker,Cardiovascular protection,Take 40-160mg of Propranolol at any time daily for cardiovascular health and stress response modulation,,,024,(iv),SINGLE,MED,Propranolol,Cardiovascular protection,Take 40-160mg of Propranolol at any time daily for cardiovascular health and stress response modulation,MED,Beta Blocker,<>,40.0,160.0,milligram,mg,40-160 mg,1.0,Any,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:47am,Keegan Dolan,recD43W0QrI9D0zCB
MED024(v)-SINGLE,Bisoprolol: Beta Blocker,Cardiovascular protection,Take 2.5-10mg of Bisoprolol in the morning daily for cardiovascular protection and stress response optimization,,,024,(v),SINGLE,MED,Bisoprolol,Cardiovascular protection,Take 2.5-10mg of Bisoprolol in the morning daily for cardiovascular protection and stress response optimization,MED,Beta Blocker,<>,2.5,10.0,milligram,mg,2.5-10 mg,1.0,Morning,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:47am,Keegan Dolan,recqC94gkDbDan3Ft
MED025-SINGLE,Sertraline: SSRI,Mental health optimization,Take 25-100mg of Sertraline in the morning daily for mental health optimization and stress resilience,,,025,,SINGLE,MED,Sertraline,Mental health optimization,Take 25-100mg of Sertraline in the morning daily for mental health optimization and stress resilience,MED,SSRI,<>,25.0,100.0,milligram,mg,25-100 mg,1.0,Morning,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:50am,Keegan Dolan,rec9lWRCb0IXPjkQj
MED026-SINGLE,Escitalopram: SSRI,Mental health optimization,Take 10-20mg of Escitalopram in the morning daily for mood optimization and cognitive health,,,026,,SINGLE,MED,Escitalopram,Mental health optimization,Take 10-20mg of Escitalopram in the morning daily for mood optimization and cognitive health,MED,SSRI,<>,10.0,20.0,milligram,mg,10-20 mg,1.0,Morning,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:50am,Keegan Dolan,recNJyhIxhMGbjCbs
MED027-SINGLE,Fluoxetine: SSRI,Mental health optimization,Take 20-40mg of Fluoxetine in the morning daily for mental health support and emotional well-being,,,027,,SINGLE,MED,Fluoxetine,Mental health optimization,Take 20-40mg of Fluoxetine in the morning daily for mental health support and emotional well-being,MED,SSRI,<>,20.0,40.0,milligram,mg,20-40 mg,1.0,Morning,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:51am,Keegan Dolan,recnzLYs0sS50O0V5
MED028-SINGLE,Duloxetine: SNRI,Mental health optimization,Take 30-60mg of Duloxetine in the morning daily for mood optimization and pain management,,,028,,SINGLE,MED,Duloxetine,Mental health optimization,Take 30-60mg of Duloxetine in the morning daily for mood optimization and pain management,MED,SNRI,<>,30.0,60.0,milligram,mg,30-60 mg,1.0,Morning,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:51am,Keegan Dolan,recaJAywothgXPA2O
MED029-SINGLE,Venlafaxine: SNRI,Mental health optimization,Take 75-225mg of Venlafaxine in the morning daily for comprehensive mood support and stress management,,,029,,SINGLE,MED,Venlafaxine,Mental health optimization,Take 75-225mg of Venlafaxine in the morning daily for comprehensive mood support and stress management,MED,SNRI,<>,75.0,225.0,milligram,mg,75-225 mg,1.0,Morning,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:51am,Keegan Dolan,recZlbcMLESqexmD9
MED030-SINGLE,Bupropion: NDRI,Mental health and metabolic optimization,"Take 150-300mg of Bupropion in the morning daily for mood enhancement, metabolic benefits, and cognitive support",,,030,,SINGLE,MED,Bupropion,Mental health and metabolic optimization,"Take 150-300mg of Bupropion in the morning daily for mood enhancement, metabolic benefits, and cognitive support",MED,NDRI,<>,150.0,300.0,milligram,mg,150-300 mg,1.0,Morning,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:51am,Keegan Dolan,reckxcBd1K5mPjQc5
MED031-SINGLE,Mirtazapine: Atypical Antidepressant,Mental health optimization,Take 15-30mg of Mirtazapine before bed daily for mood optimization and sleep enhancement,,,031,,SINGLE,MED,Mirtazapine,Mental health optimization,Take 15-30mg of Mirtazapine before bed daily for mood optimization and sleep enhancement,MED,Atypical Antidepressant,<>,15.0,30.0,milligram,mg,15-30 mg,1.0,Before bed,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:51am,Keegan Dolan,recTadsFW3WL7n66A
MED032-SINGLE,Naltrexone: Opioid Antagonist,Neuroinflammation and longevity (low-dose),Take 1.5-4.5mg of Low-Dose Naltrexone before bed daily for neuroinflammation reduction and immune modulation,,,032,,SINGLE,MED,Naltrexone,Neuroinflammation and longevity (low-dose),Take 1.5-4.5mg of Low-Dose Naltrexone before bed daily for neuroinflammation reduction and immune modulation,MED,Opioid Antagonist,<>,1.5,4.5,milligram,mg,1.5-4.5 mg,1.0,Before bed,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:51am,Keegan Dolan,recqYFg7fFphfiRZt
MED033-SINGLE,Rapamycin: mTOR Inhibitor,Longevity and cellular optimization,"Take 2-8mg of Rapamycin in the morning weekly for longevity pathway activation, autophagy enhancement, and cellular optimization",,,033,,SINGLE,MED,Rapamycin,Longevity and cellular optimization,"Take 2-8mg of Rapamycin in the morning weekly for longevity pathway activation, autophagy enhancement, and cellular optimization",MED,mTOR Inhibitor,<>,2.0,8.0,milligram,mg,2-8 mg,7.0,Morning,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:51am,Keegan Dolan,recuX7UaUL73BvmJr
MED034-SINGLE,Acarbose: Alpha-Glucosidase Inhibitor,Metabolic optimization and longevity,"Take 50-200mg of Acarbose with meals daily for glucose optimization, longevity benefits, and metabolic health",,,034,,SINGLE,MED,Acarbose,Metabolic optimization and longevity,"Take 50-200mg of Acarbose with meals daily for glucose optimization, longevity benefits, and metabolic health",MED,Alpha-Glucosidase Inhibitor,<>,50.0,200.0,milligram,mg,50-200 mg,1.0,With meals,,21.0,150.0,male_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/27/2025 10:51am,Keegan Dolan,recK0weT9KzwCxdUw
MULTI001-STACK,Empagliflozin + Semaglutide + Metformin Stack,"Comprehensive metabolic optimization combining three complementary mechanisms - Metformin activates AMPK and longevity pathways, SGLT2 inhibitors provide glucose elimination and cardioprotection, while GLP-1 agonists offer appetite regulation and neuroprotection. Together they optimize metabolism, body composition, and longevity.","Take 500-2,000mg of Metformin (with meals daily), 10-25mg of Empagliflozin (morning daily), and 1-2.4mg of Semaglutide (any time weekly) for comprehensive metabolic optimization, weight management, cardiovascular protection, neuroprotection, and longevity pathway activation","Comprehensive metabolic optimization combining three complementary mechanisms - Metformin activates AMPK and longevity pathways, SGLT2 inhibitors provide glucose elimination and cardioprotection, while GLP-1 agonists offer appetite regulation and neuroprotection. Together they optimize metabolism, body composition, and longevity.","Take 500-2,000mg of Metformin (with meals daily), 10-25mg of Empagliflozin (morning daily), and 1-2.4mg of Semaglutide (any time weekly) for comprehensive metabolic optimization, weight management, cardiovascular protection, neuroprotection, and longevity pathway activation",001,,STACK,MULTI,Empagliflozin,Metabolic optimization and cardioprotection,"Take 10-25mg of Empagliflozin in the morning daily for metabolic optimization, cardiovascular protection, and potential longevity benefits",MED,SGLT2 Inhibitor,<>,10.0,25.0,milligram,mg,10-25 mg,1.0,Morning,,21.0,150.0,male_female,Semaglutide,PEP,GLP-1 Agonist,<>,1.0,2.4,milligram,mg,1-2.4 mg,7.0,Any,,21.0,150.0,male_female,Metformin,MED,Biguanide,<>,500.0,2000.0,milligram,mg,500-2000 mg,1.0,With meals,,21.0,150.0,male_female,,9/27/2025 10:59am,Keegan Dolan,recFjODxHfNMbp7NI